Price,Size,Rooms,Province,Date,Price_Per_Size,Month,Year
250000,100,"2 +
                        2",adalar,15-01-20,2500,01,0015
50000,110,"4 +
                        1",adalar,15-01-20,454.54545454545456,01,0015
27000,130,"2 +
                        1",adalar,27-12-20,207.69230769230768,12,0027
32500,84,"2 +
                        1",adalar,19-01-20,386.9047619047619,01,0019
35000,110,"3 +
                        1",adalar,26-12-20,318.1818181818182,12,0026
300000,170,"4 +
                        1",adalar,8-01-20,1764.7058823529412,01,0008
50000,175,"4 +
                        1",adalar,7-11-20,285.7142857142857,11,0007
25000,100,"2 +
                        1",adalar,4-01-20,250,01,0004
45000,240,"5 +
                        1",adalar,19-01-20,187.5,01,0019
20000,150,"3 +
                        1",adalar,7-11-20,133.33333333333334,11,0007
150000,80,"2 +
                        1",adalar,5-01-20,1875,01,0005
160000,100,"2 +
                        1",adalar,1-01-20,1600,01,0001
200000,100,"3 +
                        1",adalar,11-01-20,2000,01,0011
25000,75,"2 +
                        1",adalar,19-01-20,333.3333333333333,01,0019
240000,165,"3 +
                        1",adalar,29-12-20,1454.5454545454545,12,0029
27000,95,"2 +
                        1",adalar,19-01-20,284.2105263157895,01,0019
38000,110,"3 +
                        1",adalar,16-01-20,345.45454545454544,01,0016
7000,90,"2 +
                        1",adalar,9-01-20,77.77777777777777,01,0009
185000,90,"2 +
                        1",adalar,18-01-20,2055.5555555555557,01,0018
22000,90,"2 +
                        1",adalar,14-11-20,244.44444444444446,11,0014
175000,200,"3 +
                        1",adalar,14-11-20,875,11,0014
17000,175,"1 +
                        1",adalar,14-11-20,97.14285714285714,11,0014
25000,120,"2 +
                        1",adalar,14-11-20,208.33333333333334,11,0014
160000,130,"3 +
                        1",adalar,14-11-20,1230.7692307692307,11,0014
70000,300,"5 +
                        2",adalar,14-11-20,233.33333333333334,11,0014
70000,140,"3 +
                        1",adalar,14-11-20,500,11,0014
105000,60,"1 +
                        1",adalar,14-11-20,1750,11,0014
180000,90,"3 +
                        1",adalar,14-11-20,2000,11,0014
25000,135,"4 +
                        1",adalar,14-11-20,185.1851851851852,11,0014
45000,160,"3 +
                        1",adalar,14-11-20,281.25,11,0014
35000,100,"3 +
                        1",adalar,14-11-20,350,11,0014
130000,70,"1 +
                        1",adalar,14-11-20,1857.142857142857,11,0014
220000,150,"4 +
                        1",adalar,14-11-20,1466.6666666666667,11,0014
35000,160,"3 +
                        1",adalar,14-11-20,218.75,11,0014
300000,173,"4 +
                        1",adalar,14-11-20,1734.1040462427745,11,0014
17000,120,"1 +
                        1",adalar,14-11-20,141.66666666666666,11,0014
45000,240,"5 +
                        1",adalar,14-11-20,187.5,11,0014
25000,90,"2 +
                        1",adalar,14-11-20,277.77777777777777,11,0014
33000,140,"3 +
                        2",adalar,14-11-20,235.71428571428572,11,0014
30000,100,"2 +
                        1",adalar,2-11-20,300,11,0002
25000,120,"2 +
                        1",adalar,2-11-20,208.33333333333334,11,0002
25000,100,"2 +
                        1",adalar,2-11-20,250,11,0002
110000,75,"2 +
                        1",adalar,2-11-20,1466.6666666666667,11,0002
